Date,Bithumb-BTC-KRW,Bitfinex-BTC-USD
2019-10-20-01:59,9501000,8012.9
2019-10-20-02:05,9501000,8012.5
2019-10-20-02:05,9501000,8012.4
2019-10-20-02:08,9501000,8012.3
2019-10-20-02:10,9501000,8012
2019-10-20-02:34,9501000,8013
2019-10-20-02:35,9501000,8013
2019-10-20-02:35,9501000,8013
2019-10-20-02:36,9501000,8013
2019-10-20-02:36,9501000,8013.2
2019-10-20-02:37,9501000,8014.3
2019-10-20-02:37,9501000,8016.6
2019-10-20-02:40,9480000,8020
2019-10-20-02:40,9482000,8020.3
2019-10-20-02:42,9475000,8020.3
2019-10-20-02:43,9484000,8020.3
2019-10-20-02:43,9484000,8020.5
2019-10-20-02:44,9484000,8020.5
2019-10-20-02:44,9484000,8020.6
2019-10-20-02:46,9484000,8022.9
2019-10-20-02:47,9484000,8025.5
2019-10-20-02:48,9482000,8025.8
2019-10-20-02:51,9491000,8025.5
2019-10-20-02:52,9488000,8026.6
2019-10-20-02:53,9488000,8026.8
2019-10-20-02:54,9487000,8027
2019-10-20-02:55,9485000,8027
2019-10-20-02:56,9485000,8027.6
2019-10-20-02:57,9491000,8029
2019-10-20-02:58,9493000,8029.2
2019-10-20-02:59,9495000,8029.2
2019-10-20-03:00,9494000,8029.2
2019-10-20-03:01,9492000,8029.2
2019-10-20-03:02,9498000,8029.2
2019-10-20-03:03,9498000,8029.2
2019-10-20-03:05,9493000,8032.9
2019-10-20-03:07,9484000,8033.5
2019-10-20-03:08,9486000,8033.5
2019-10-20-03:09,9486000,8033.5
2019-10-20-03:10,9491000,8033.5
2019-10-20-03:11,9491000,8033.5
2019-10-20-03:12,9491000,8033.5
2019-10-20-03:13,9491000,8033.5
2019-10-20-03:14,9485000,8032.7
2019-10-20-03:15,9488000,8032.2
2019-10-20-03:16,9486000,8032.2
2019-10-20-03:19,9494000,8031.8
2019-10-20-12:59,9404000,7954.7
2019-10-20-13:00,9400000,7954.7
2019-10-20-13:01,9400000,7954.7
2019-10-20-13:02,9405000,7954.7
2019-10-20-13:03,9400000,7954.7
2019-10-20-13:04,9406000,7954.7
2019-10-20-13:05,9406000,7954.7
2019-10-20-13:06,9406000,7954.7
2019-10-20-13:07,9407000,7954.7
2019-10-20-13:08,9407000,7954.6
2019-10-20-13:09,9400000,7954.6
2019-10-20-13:10,9403000,7952.9
2019-10-20-13:11,9399000,7952.9
2019-10-20-13:12,9396000,7952.9
2019-10-20-13:13,9399000,7950.3
2019-10-20-13:14,9397000,7950
2019-10-20-13:15,9403000,7950
2019-10-20-13:16,9412000,7950
2019-10-20-13:17,9422000,7962.9
2019-10-20-13:18,9419000,7965.4
2019-10-20-13:19,9421000,7967.4
2019-10-20-13:20,9421000,7967.4
2019-10-20-13:21,9423000,7967.4
2019-10-20-13:22,9430000,7972.9
2019-10-20-13:23,9423000,7972.9
2019-10-20-13:24,9427000,7971.2
2019-10-20-13:25,9421000,7971.1
2019-10-20-13:26,9417000,7970.9
2019-10-20-13:27,9419000,7967.4
2019-10-20-13:28,9415000,7967.4
2019-10-20-13:29,9415000,7967.4
2019-10-20-13:30,9417000,7967.1
2019-10-20-13:31,9416000,7967.2
2019-10-20-13:32,9412000,7967.6
2019-10-20-13:33,9418000,7967.6
2019-10-20-13:34,9415000,7967.1
2019-10-20-13:35,9417000,7967.1
2019-10-20-13:36,9417000,7967.3
2019-10-20-13:37,9417000,7967.4
2019-10-20-13:38,9416000,7967.4
2019-10-20-13:39,9421000,7967.8
2019-10-20-13:40,9417000,7968
2019-10-20-13:41,9415000,7968
2019-10-20-13:42,9417000,7968
